don;acc;acctodon;DFRET;NFRETc;FRETNc
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
404923.6834;112610.7121;0.278103546;0.020336262;0.038562739;1.84338E-07
4091530.902;2382085.676;0.582199116;0.038831688;0.050892115;1.69601E-08
419316.0698;593837.8687;1.416205844;0.05268946;0.044275202;9.3662E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
774873.3794;220336.9241;0.284352166;0.007227673;0.013554086;3.30416E-08
2504031.205;1906328.642;0.761303868;0.059640258;0.068353459;3.32696E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
699056.1002;412291.9208;0.589783739;0.039469627;0.051394498;9.9666E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
925734.1036;630628.8002;0.681220231;0.036014332;0.04363466;5.92422E-08
626901.8341;155188.2371;0.247547907;0.013811383;0.027759237;9.0244E-08
847397.6022;212292.1988;0.250522539;0.013197993;0.026368444;6.30005E-08
540003.7491;126179.3155;0.233663777;0.007640644;0.015806446;6.10201E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
480812.6079;551781.9022;1.147602815;0.072814675;0.067970914;1.42326E-07
2121004.265;1058342.346;0.498981715;0.042280908;0.059855215;4.17138E-08
2819513.042;1017569.822;0.360902683;0.022110781;0.036805187;2.22203E-08
2519636.264;1240769.803;0.492440048;0.037101377;0.052870491;3.1054E-08
548109.3092;115098.2924;0.209991493;0.025175654;0.054938893;2.24381E-07
2872580.927;456330.2278;0.158857223;0.014289785;0.035852729;3.17685E-08
5517543.227;1159299.219;0.210111488;0.009855782;0.021501373;8.58612E-09
503837.4574;208162.1699;0.413153423;0.032087311;0.049920352;1.59256E-07
463288.3484;528568.8897;1.140906935;0.056032758;0.052458623;1.12301E-07
3408716.989;1218597.857;0.357494583;0.022914208;0.038323936;1.92447E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2693506.816;1649684.489;0.612467167;0.036611414;0.046781603;2.30364E-08
990197.9404;912775.5127;0.921811161;0.045625824;0.047521456;5.23755E-08
3591418.126;1421293.424;0.395747132;0.033549147;0.053330124;2.44241E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3834660.839;3752893.395;0.978676747;0.065154431;0.065860393;1.85711E-08
2792483.179;2824186.786;1.011353195;0.063497134;0.063139726;2.40078E-08
2649785.449;330767.3177;0.124827962;0.008519866;0.024114419;2.59792E-08
1006946.216;227889.1609;0.226317113;0.013810004;0.029029204;6.14483E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
921033.9856;170145.2001;0.184732814;0.007224524;0.01680882;4.27699E-08
1563633.878;664930.3764;0.425246847;0.023043959;0.035337559;3.54737E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2665135.945;1058044.635;0.396994621;0.029866438;0.047401394;2.9097E-08
4906924.877;3530890.433;0.719572955;0.047488572;0.055982424;1.412E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2050620.642;1088776.646;0.530949813;0.033647616;0.046177197;3.19801E-08
758854.4563;115620.4847;0.152361871;0.005371836;0.013762095;4.67119E-08
3651734.519;564107.1884;0.154476506;0.010893169;0.027715519;1.95231E-08
2644123.77;875756.6586;0.331208648;0.023737893;0.041246902;2.77647E-08
1637350.562;1330331.012;0.812490033;0.041742131;0.04630902;3.27441E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2711880.249;972351.3373;0.358552461;0.019599051;0.032730957;2.05593E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
857421.0849;478511.3199;0.558082054;0.032071714;0.042931211;6.92447E-08
1411998.617;415718.5595;0.294418532;0.028395233;0.052331462;7.03002E-08
3170605.877;949127.7128;0.299352158;0.018145839;0.033165447;1.94718E-08
1491474.14;1379212.228;0.924730903;0.058711461;0.061054152;4.5224E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
592480.6765;1359383.232;2.29439252;0.06405334;0.042287102;5.03441E-08
784832.568;269390.3757;0.343245664;0.020091216;0.034292859;7.61094E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2837668.359;1527410.131;0.538262382;0.03814253;0.051989123;2.59623E-08
2076519.518;261473.124;0.125918934;0.004281425;0.012065431;1.64447E-08
596470.0002;156252.6027;0.261962215;0.026125317;0.05104371;1.71685E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1001790.41;197611.4437;0.197258271;0.017121351;0.038549649;8.81508E-08
3657178.19;2542863.184;0.695307434;0.049834819;0.059764659;2.06258E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3518625.22;1114669.453;0.316791185;0.067374506;0.119704106;6.481E-08
2062370.854;705820.671;0.342237512;0.025820997;0.044137649;3.75526E-08
803298.4585;557732.4784;0.694302936;0.039592656;0.047516028;7.39151E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3240583.913;969137.6275;0.299062655;0.027152952;0.04965191;2.87996E-08
1725291.482;873435.1066;0.506253648;0.041416772;0.058209272;4.9467E-08
1186258.31;900492.3378;0.759103081;0.055787492;0.064030436;6.56126E-08
2676127.741;974257.2721;0.364054846;0.02538293;0.042068627;2.67322E-08
5268304.292;2149974.645;0.40809614;0.025528339;0.039961457;1.21848E-08
904076.498;301005.8624;0.332942913;0.024152459;0.041857806;8.22251E-08
2109088.521;724294.9392;0.343416093;0.042857865;0.073134149;6.18214E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3324784.173;1281359.348;0.385396249;0.029483573;0.047492646;2.37086E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
865335.4043;152076.4046;0.175742728;0.013237858;0.031577595;8.82152E-08
423546.3896;141572.2029;0.334254302;0.032292005;0.055854286;2.35707E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1553507.182;415911.1229;0.267723978;0.013739452;0.026553744;3.34948E-08
4781874.033;1320106.649;0.276064706;0.052702105;0.100304985;4.21437E-08
410340.0491;95721.41629;0.233273395;0.002593907;0.005370587;2.7169E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1058593.012;177870.6651;0.168025543;0.014509313;0.035396409;8.27732E-08
502643.5018;565084.0492;1.12422432;0.072531114;0.068406577;1.38392E-07
1113487.013;235531.7376;0.211526255;0.013837036;0.030085756;5.95724E-08
563591.8087;352150.0183;0.624831683;0.049711297;0.062888838;1.4855E-07
2279609.594;947732.9869;0.415743551;0.029534269;0.045805061;3.21115E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
662802.8116;202713.6632;0.305843095;0.025496022;0.046102352;1.29064E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
457188.1369;226416.3627;0.49523674;0.037041963;0.052636567;1.69894E-07
1176922.398;1435508.3;1.219713639;0.073216298;0.066294702;5.50331E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
491342.739;325382.0993;0.662230401;0.039651399;0.048725237;1.26893E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
497147.2958;119960.817;0.24129834;0.009545152;0.019431472;8.03357E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2274027.767;743541.2001;0.32697103;0.028874954;0.050497126;3.99891E-08
2480976.495;838935.4678;0.338147286;0.028434639;0.048898413;3.48857E-08
2694236.973;764800.0018;0.283865157;0.085221174;0.159952661;1.2181E-07
729929.364;135347.1405;0.185424984;0.006443488;0.014963629;4.79159E-08
1256470.568;287013.7616;0.228428559;0.014559229;0.030462334;5.1476E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3085312.131;1024371.633;0.332015559;0.030488813;0.052912868;3.06994E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4972476.185;1500179.453;0.301696659;0.067480217;0.122854542;4.82364E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
739395.9818;745235.3296;1.007897457;0.067100526;0.066837123;9.65156E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
781270.5934;454601.3053;0.581874333;0.047308154;0.062018521;1.09233E-07
